journee,game_id,home_club_id,away_club_id,home_goals,away_goals
18,515653,15,9,3,2
18,515650,267,17,0,4
18,515655,211,38,2,0
18,515651,43,22,0,0
18,515656,14,46,1,2
18,515649,374,242,0,1
18,515658,30,18,1,2
18,515652,20,11,4,1
18,515657,13,6,0,2
18,515654,26,25,2,0
17,515643,6,267,1,2
20,515670,18,6,0,1
16,515629,374,25,1,3
16,515641,43,30,2,1
16,515640,9,26,1,1
16,515648,38,14,0,5
16,515644,25,20,4,0
16,515647,211,374,1,2
16,515645,17,242,1,0
16,515642,11,15,0,1
16,515646,46,13,0,3
16,515639,18,22,2,2
16,515673,9,14,1,0
16,515671,267,46,0,3
16,515676,20,13,0,2
16,515672,242,211,0,0
16,515678,15,25,0,0
16,515675,22,26,1,1
16,515677,17,30,0,1
16,515674,43,11,3,1
16,515669,374,38,0,1
16,515637,13,18,5,2
16,515633,20,17,1,3
16,515630,267,38,1,0
16,515638,30,11,2,0
16,515635,26,46,0,0
16,515636,14,43,1,2
16,515634,15,6,0,1
16,515631,242,9,2,2
16,515632,22,211,1,2
22,515694,22,38,1,0
21,515682,46,15,2,1
19,515661,11,26,1,1
19,515691,267,43,2,0
19,515693,9,6,0,2
19,515695,20,46,0,2
19,515690,18,13,4,3
19,515692,242,14,2,1
19,515697,15,11,4,2
19,515689,374,30,2,1
19,515696,17,25,3,2
19,515698,26,211,4,0
19,515686,38,9,1,2
19,515683,26,267,2,0
19,515685,14,18,6,0
19,515687,13,17,3,1
19,515681,25,242,4,0
19,515679,11,374,0,0
19,515684,211,20,0,1
19,515688,30,22,0,1
19,515680,6,43,1,1
19,515662,22,20,1,1
19,515663,6,211,1,1
19,515664,25,14,2,1
19,515665,17,374,4,1
19,515666,46,9,2,1
19,515667,38,15,0,1
19,515668,30,267,1,1
19,515659,18,43,2,3
19,515660,242,13,0,2
11,515588,38,374,2,2
11,515584,15,242,2,1
11,515580,43,267,1,1
11,515585,46,22,3,2
11,515579,9,20,4,1
11,515587,14,13,1,0
11,515581,11,18,1,1
11,515586,211,30,1,2
11,515583,25,17,3,1
11,515582,6,26,0,0
15,515620,9,374,2,2
15,515621,43,15,1,1
15,515626,46,20,0,1
15,515628,38,26,1,3
15,515622,11,14,0,2
15,515624,25,13,1,1
15,515619,18,267,1,2
15,515627,211,242,1,0
15,515625,17,22,0,1
15,515623,6,30,1,0
12,515596,26,43,2,1
12,515594,20,38,1,1
12,515593,22,9,2,1
12,515589,374,46,1,2
12,515598,30,14,2,2
12,515595,17,15,2,0
12,515597,13,11,4,0
12,515590,18,211,3,2
12,515591,267,25,2,0
12,515592,242,6,0,1
10,515576,26,374,2,1
10,515571,242,43,1,0
10,515572,22,25,2,0
10,515578,30,46,1,0
10,515569,18,15,1,1
10,515574,20,14,0,3
10,515577,13,38,5,1
10,515570,267,211,1,1
10,515575,17,9,1,0
10,515573,6,11,4,1
14,515610,25,43,2,2
14,515611,26,15,3,1
14,515612,14,17,2,0
14,515616,267,9,4,0
14,515613,13,211,1,1
14,515615,374,11,1,0
14,515614,30,38,0,1
14,515609,20,18,3,3
14,515617,242,46,1,2
13,515600,9,30,4,0
13,515601,43,374,1,1
13,515599,18,26,2,3
13,515603,6,20,0,0
13,515604,15,13,2,2
13,515606,211,25,0,0
13,515602,11,267,1,2
13,515608,38,242,3,2
13,515605,46,17,0,1
13,515607,14,22,4,1
6,515537,13,20,3,0
9,515560,9,211,2,0
9,515531,9,43,1,0
9,515536,38,18,1,2
9,515533,46,25,2,2
9,515529,374,15,1,4
9,515530,242,267,1,1
9,515535,211,11,0,0
9,515538,30,17,1,1
9,515532,6,14,2,0
9,515534,26,22,2,1
9,515564,17,13,1,1
9,515566,46,267,2,1
9,515567,14,26,2,0
9,515559,374,20,3,2
9,515562,11,242,1,1
9,515563,25,18,3,0
9,515565,15,30,2,0
9,515561,43,6,2,0
9,515568,38,22,1,1
8,515556,38,46,0,3
8,515557,13,43,1,2
8,515554,26,17,2,0
8,515552,22,11,1,1
8,515549,18,14,1,1
8,515558,30,374,1,1
8,515555,211,15,3,1
8,515550,267,20,1,2
8,515551,242,25,1,3
8,515553,6,9,2,3
4,515514,15,22,0,1
4,515515,46,18,4,0
4,515513,6,38,3,1
4,515518,30,25,1,2
4,515509,374,14,2,0
4,515510,242,20,2,2
4,515511,9,11,2,2
4,515517,13,267,3,1
4,515512,43,17,2,1
4,515516,211,26,0,2
3,515500,267,26,2,4
3,515503,25,9,0,2
3,515507,38,43,1,1
3,515501,22,242,3,3
3,515499,18,374,1,1
3,515504,17,11,3,1
3,515502,20,211,1,1
3,515508,13,30,1,1
3,515506,14,15,1,0
3,515505,46,6,1,1
7,515548,14,242,6,0
7,515546,17,18,3,3
7,515547,15,267,3,1
7,515541,43,211,2,1
7,515545,25,38,3,1
7,515544,20,26,1,2
7,515539,374,6,0,0
7,515540,9,13,0,1
7,515542,11,46,1,0
7,515543,22,30,3,1
5,515521,11,43,2,1
5,515527,26,242,4,0
5,515524,25,6,0,2
5,515525,17,38,2,0
5,515520,267,374,1,1
5,515519,18,9,2,3
5,515528,14,211,0,2
5,515523,20,30,0,2
5,515526,15,46,0,2
5,515522,22,13,3,1
1,515486,25,15,1,1
1,515484,22,267,1,1
1,515482,30,26,1,2
1,515479,14,9,1,1
1,515480,38,11,1,1
1,515481,13,374,0,2
1,515483,18,242,0,2
1,515488,46,211,0,0
1,515485,20,43,3,3
1,515487,17,6,2,3
2,515494,11,25,1,0
2,515493,43,46,0,4
2,515497,26,13,4,2
2,515489,374,22,3,0
2,515491,242,30,2,0
2,515496,15,20,2,0
2,515490,267,14,1,1
2,515498,211,17,3,3
2,515492,9,38,2,2
2,515495,6,18,2,2
