horizontal,vertical,poste,system,HomeOrAway
22.12,11.38,DEF,3-4-3,H
77.75,11.38,DEF,3-4-3,H
49.94,11.38,DEF,3-4-3,H
12.3,19.73,MID,3-4-3,H
87.6,19.73,MID,3-4-3,H
36.03,22.64,MID,3-4-3,H
62.22,22.64,MID,3-4-3,H
77.75,31.83,ATK,3-4-3,H
22.12,31.83,ATK,3-4-3,H
49.94,39.75,ATK,3-4-3,H
36.03,11.38,DEF,4-4-2,H
87.6,11.38,DEF,4-4-2,H
12.3,11.38,DEF,4-4-2,H
62.22,11.38,DEF,4-4-2,H
36.03,22.64,MID,4-4-2,H
62.22,22.64,MID,4-4-2,H
87.6,25.16,MID,4-4-2,H
12.3,25.16,MID,4-4-2,H
22.12,37.66,ATK,4-4-2,H
77.75,37.66,ATK,4-4-2,H
62.28,80.6,DEF,4-4-2,A
12.5,80.6,DEF,4-4-2,A
36.2,80.6,DEF,4-4-2,A
87.6,80.6,DEF,4-4-2,A
62.28,69.0,MID,4-4-2,A
36.2,69.0,MID,4-4-2,A
12.5,66.4,MID,4-4-2,A
87.6,66.4,MID,4-4-2,A
22.3,53.47,ATK,4-4-2,A
77.8,53.47,ATK,4-4-2,A
50.06,80.6,DEF,5-3-2,A
26.38,80.6,DEF,5-3-2,A
73.75,80.6,DEF,5-3-2,A
12.5,77.6,DEF,5-3-2,A
87.6,77.6,DEF,5-3-2,A
50.06,69.0,MID,5-3-2,A
22.3,66.4,MID,5-3-2,A
77.8,66.4,MID,5-3-2,A
36.2,53.47,ATK,5-3-2,A
62.28,53.47,ATK,5-3-2,A
49.94,11.38,DEF,5-2-3,H
26.22,11.38,DEF,5-2-3,H
73.7,11.38,DEF,5-2-3,H
12.3,14.305,DEF,5-2-3,H
87.6,14.305,DEF,5-2-3,H
36.03,22.64,MID,5-2-3,H
62.22,22.64,MID,5-2-3,H
87.6,30.16,ATK,5-2-3,H
12.3,30.16,ATK,5-2-3,H
49.94,39.75,ATK,5-2-3,H
62.22,11.38,DEF,4-2-3-1,H
87.6,11.38,DEF,4-2-3-1,H
12.3,11.38,DEF,4-2-3-1,H
36.03,11.38,DEF,4-2-3-1,H
62.22,22.64,MID,4-2-3-1,H
36.03,22.64,MID,4-2-3-1,H
49.94,30.16,MID-ATK,4-2-3-1,H
87.6,30.16,MID-ATK,4-2-3-1,H
12.3,30.16,MID-ATK,4-2-3-1,H
49.94,39.75,ATK,4-2-3-1,H
77.8,80.6,DEF,3-2-3-2,A
50.06,80.6,DEF,3-2-3-2,A
22.3,80.6,DEF,3-2-3-2,A
87.6,72.0,DEF-MID,3-2-3-2,A
12.5,72.0,DEF-MID,3-2-3-2,A
50.06,69.0,MID,3-2-3-2,A
77.8,66.4,MID,3-2-3-2,A
22.3,66.4,MID,3-2-3-2,A
62.28,53.47,ATK,3-2-3-2,A
36.2,53.47,ATK,3-2-3-2,A
87.6,80.6,DEF,4-2-3-1,A
62.28,80.6,DEF,4-2-3-1,A
36.2,80.6,DEF,4-2-3-1,A
12.5,80.6,DEF,4-2-3-1,A
36.2,72.0,MID,4-2-3-1,A
62.28,72.0,MID,4-2-3-1,A
12.5,61.22,MID-ATK,4-2-3-1,A
50.06,61.22,MID-ATK,4-2-3-1,A
87.6,61.22,MID-ATK,4-2-3-1,A
50.06,51.3,ATK,4-2-3-1,A
62.22,11.38,DEF,4-3-3,H
36.03,11.38,DEF,4-3-3,H
12.3,11.38,DEF,4-3-3,H
87.6,11.38,DEF,4-3-3,H
49.94,22.64,MID,4-3-3,H
77.75,25.16,MID,4-3-3,H
22.12,25.16,MID,4-3-3,H
12.3,37.66,ATK,4-3-3,H
87.6,37.66,ATK,4-3-3,H
49.94,39.75,ATK,4-3-3,H
12.5,80.6,DEF,4-3-3,A
62.28,80.6,DEF,4-3-3,A
87.6,80.6,DEF,4-3-3,A
36.2,80.6,DEF,4-3-3,A
50.06,69.0,MID,4-3-3,A
77.8,66.4,MID,4-3-3,A
22.3,66.4,MID,4-3-3,A
22.3,53.47,ATK,4-3-3,A
77.8,53.47,ATK,4-3-3,A
50.06,51.3,ATK,4-3-3,A
